Epoch 220/3000, Train miss rmse:0.1616, obse rmse:0.1462, Test miss rmse:0.1734, obse rmse:0.1557
Epoch 221/3000, Train miss rmse:0.1631, obse rmse:0.1437, Test miss rmse:0.1750, obse rmse:0.1531
Epoch 222/3000, Train miss rmse:0.1625, obse rmse:0.1443, Test miss rmse:0.1744, obse rmse:0.1541
Epoch 223/3000, Train miss rmse:0.1613, obse rmse:0.1453, Test miss rmse:0.1732, obse rmse:0.1549
Epoch 224/3000, Train miss rmse:0.1624, obse rmse:0.1436, Test miss rmse:0.1744, obse rmse:0.1531
Epoch 225/3000, Train miss rmse:0.1611, obse rmse:0.1447, Test miss rmse:0.1730, obse rmse:0.1544
Epoch 226/3000, Train miss rmse:0.1616, obse rmse:0.1438, Test miss rmse:0.1735, obse rmse:0.1533
Epoch 227/3000, Train miss rmse:0.1607, obse rmse:0.1444, Test miss rmse:0.1727, obse rmse:0.1542
Epoch 228/3000, Train miss rmse:0.1607, obse rmse:0.1443, Test miss rmse:0.1729, obse rmse:0.1540
Epoch 229/3000, Train miss rmse:0.1606, obse rmse:0.1439, Test miss rmse:0.1727, obse rmse:0.1536
Epoch 230/3000, Train miss rmse:0.1611, obse rmse:0.1431, Test miss rmse:0.1734, obse rmse:0.1529
Epoch 231/3000, Train miss rmse:0.1609, obse rmse:0.1427, Test miss rmse:0.1732, obse rmse:0.1523
Epoch 232/3000, Train miss rmse:0.1599, obse rmse:0.1442, Test miss rmse:0.1719, obse rmse:0.1540
Epoch 233/3000, Train miss rmse:0.1606, obse rmse:0.1427, Test miss rmse:0.1728, obse rmse:0.1523
Epoch 234/3000, Train miss rmse:0.1606, obse rmse:0.1421, Test miss rmse:0.1730, obse rmse:0.1519
Epoch 235/3000, Train miss rmse:0.1603, obse rmse:0.1423, Test miss rmse:0.1725, obse rmse:0.1522
Epoch 236/3000, Train miss rmse:0.1594, obse rmse:0.1429, Test miss rmse:0.1717, obse rmse:0.1528
Epoch 237/3000, Train miss rmse:0.1596, obse rmse:0.1422, Test miss rmse:0.1720, obse rmse:0.1521
Epoch 238/3000, Train miss rmse:0.1592, obse rmse:0.1423, Test miss rmse:0.1716, obse rmse:0.1521
Epoch 239/3000, Train miss rmse:0.1602, obse rmse:0.1411, Test miss rmse:0.1727, obse rmse:0.1509
Epoch 240/3000, Train miss rmse:0.1597, obse rmse:0.1413, Test miss rmse:0.1721, obse rmse:0.1511
Epoch 241/3000, Train miss rmse:0.1594, obse rmse:0.1412, Test miss rmse:0.1719, obse rmse:0.1512
